Order,Family,Genus,Species,Binomial,Sex,AdultBodyMass_g,Sample_size_bodyMass,reference_bodymass,MaxLongevity_m,Adult_tibia_length_m,sample_size_tibia,reference.tibia,Adult_ear_length_mm,sample_size_ear,reference.ear.length,Adult_forearm_length_mm,sample_size_forearm,reference.forearm
Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,M,12,5,Maryanto 2003,NA,12.65,5,"Maryanto 2003
",7.29,5,"Maryanto 2003
",40.15,5,"Maryanto 2003
"
Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,F,12.21,7,"Maryanto 2003
",NA,12.59,7,"Maryanto 2003
",7.13,7,"Maryanto 2003
",39.21,7,"Maryanto 2003
"
Chiroptera,Pteropodidae,Casinycteris,argynnis,Casinycteris argynnis,F,31.5,2,Van Cakenberghe et al. 1999,NA,24.1,2,Van Cakenberghe et al. 1999,18.8,2,Van Cakenberghe et al. 1999,58.75,2,Van Cakenberghe et al. 1999
Chiroptera,Pteropodidae,Dobsonia,beauforti,Dobsonia beauforti,M,156,1,Yohanita et al. 2010,NA,45.32,17,Yohanita et al. 2010,25.45,17,Yohanita et al. 2010,106.4,1,Bergmans and Sarbini 1985
Chiroptera,Pteropodidae,Dobsonia,beauforti,Dobsonia beauforti,F,140,1,Yohanita et al. 2010,NA,43.03,28,Yohanita et al. 2010,26.17,28,Yohanita et al. 2010,107.9,1,Bergmans and Sarbini 1985
Chiroptera,Pteropodidae,Dobsonia,chapmani,Dobsonia chapmani,F,140.5,2,Paguntalan et al 2004,NA,NA,NA,NA,26.5,3,Paguntalan et al 2004,128.4,2,Paguntalan et al 2004
Chiroptera,Pteropodidae,Dobsonia,emersa,Dobsonia emersa,M,195.25,4,Yohanita et al. 2010,NA,49.25,4,Yohanita et al. 2010,28.75,4,Yohanita et al. 2010,115.5,4,Yohanita et al. 2010
Chiroptera,Pteropodidae,Dobsonia,inermis,Dobsonia inermis,M,150,3,Bhatnagar et al 1990,NA,NA,NA,NA,NA,NA,NA,107.4,4,Bergmans 1979
Chiroptera,Pteropodidae,Dobsonia,inermis,Dobsonia inermis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.7,3,Bergmans 1979
Chiroptera,Pteropodidae,Dobsonia,magna,Dobsonia magna,M,352.78,23,Yohanita et al. 2010,NA,63.42,23,Yohanita et al. 2010,29.47,23,Yohanita et al. 2010,146.65,23,Yohanita et al. 2010
Chiroptera,Pteropodidae,Dobsonia,magna,Dobsonia magna,F,344.86,28,Yohanita et al. 2010,NA,64.44,28,Yohanita et al. 2010,30.31,28,Yohanita et al. 2010,147.04,28,Yohanita et al. 2010
Chiroptera,Pteropodidae,Dobsonia,minor,Dobsonia minor,M,63.73,34,Yohanita et al. 2010,NA,28.91,34,Yohanita et al. 2010,20.68,34,Yohanita et al. 2010,77.45,34,Yohanita et al. 2010
Chiroptera,Pteropodidae,Dobsonia,minor,Dobsonia minor,F,74.95,33,Yohanita et al. 2010,NA,30.96,33,Yohanita et al. 2010,20.02,33,Yohanita et al. 2010,82.59,33,Yohanita et al. 2010
Chiroptera,Pteropodidae,Dobsonia,moluccensis,Dobsonia moluccensis,M,465,1,Bhatnagar et al 1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dobsonia,pannietensis,Dobsonia pannietensis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.8,3,Bergmans 1979
Chiroptera,Pteropodidae,Dobsonia,pannietensis,Dobsonia pannietensis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.8,5,Bergmans 1979
Chiroptera,Pteropodidae,Dobsonia,praedatrix,Dobsonia praedatrix,M,198,2,Bhatnagar et al 1990,NA,26.25,2,Bhatnagar et al 1990,25,2,Bhatnagar et al 1990,113.5,2,Bhatnagar et al 1990
Chiroptera,Pteropodidae,Dobsonia,praedatrix,Dobsonia praedatrix,F,169.6,5,Bhatnagar et al 1990,NA,24.9,5,Bhatnagar et al 1990,24.5,5,Bhatnagar et al 1990,111.1,5,Bhatnagar et al 1990
Chiroptera,Pteropodidae,Eidolon,dupreanum,Eidolon dupreanum,M,320.3695,,Brook et al 2019,NA,62.11,,Brook et al 2019,28.10755,NA,Brook et al 2019,128.91446,,Brook et al 2019
Chiroptera,Pteropodidae,Eidolon,dupreanum,Eidolon dupreanum,F,310.91038,,Brook et al 2019,NA,61.47,,Brook et al 2019,28.17631,NA,Brook et al 2019,129.1382,,Brook et al 2019
Chiroptera,Pteropodidae,Epomophorus,angolensis,Epomophorus angolensis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.42,,Bergmans 1988
Chiroptera,Pteropodidae,Epomophorus,angolensis,Epomophorus angolensis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.34,,Bergmans 1988
Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,M,134.59,1,Boulay and Robbins 1989,NA,37,1,Boulay and Robbins 1989,,1,NA,90,1,Boulay and Robbins 1989
Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,F,134.59,1,Boulay and Robbins 1989,NA,34.5,1,Boulay and Robbins 1989,,1,NA,84.9,1,Boulay and Robbins 1989
Chiroptera,Pteropodidae,Epomophorus,grandis,Epomophorus grandis,M,49.42,NA,Bergmans 1988,NA,28,NA,Bergmans 1988,17.4,NA,Bergmans 1988,62.55,,Boulay and Robbins 1989
Chiroptera,Pteropodidae,Epomophorus,grandis,Epomophorus grandis,F,49.42,NA,Bergmans 1988,NA,28.2,NA,Bergmans 1988,16,NA,Bergmans 1988,65.8,,Boulay and Robbins 1989
